zone,date,PM2.5,PM10,NO2,SO2,CO,O3,temp,humidity,wind_speed,AQI,AQI_category,dominant_pollutant
Vivek Vihar,2025-12-04,152.8,263.2,66.0,17.2,1.4,100.46,18.5,48.8,0.9,500.0,Severe,O3
Vivek Vihar,2025-12-05,175.6,330.7,79.1,12.7,2.48,97.91,16.4,60.4,0.6,343.0,Very Poor,PM2.5
Vivek Vihar,2025-12-06,124.9,295.6,73.4,12.2,1.38,96.17,17.5,54.2,0.8,304.0,Very Poor,PM2.5
Wazirpur,2025-12-01,190.0,390.0,60.8,11.1,2.96,103.36,16.5,52.9,0.7,354.0,Very Poor,PM2.5
Wazirpur,2025-12-02,291.8,555.0,70.3,15.5,2.93,95.49,16.9,55.3,0.8,474.0,Severe,PM10
Wazirpur,2025-12-03,134.6,339.9,50.6,10.8,1.8,72.1,17.7,48.0,1.5,311.0,Very Poor,PM2.5
Wazirpur,2025-12-04,187.9,439.0,47.3,12.5,2.94,82.41,17.2,52.0,1.3,406.0,Severe,PM10
Wazirpur,2025-12-05,203.9,422.8,61.9,8.2,2.27,81.76,16.1,57.5,0.9,391.0,Very Poor,PM10
Wazirpur,2025-12-06,187.1,410.8,71.9,10.8,1.25,90.22,17.6,55.2,1.0,376.0,Very Poor,PM10
Wazirpur,2025-12-07,188.0,340.0,90.4,8.2,1.0,5.0,16.9,58.6,0.6,352.0,Very Poor,PM2.5
